# Windows Version: 10.0.14393.206 (rs1_release.160915-0644)
# CPU: Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz
# Memory: 15.89 GB
# Linux Kernel Version: 4.8.10-moby
# Linux Total Memory: 1.934 GiB
# Linux CPUs: 2
#
# BW: Message sizes (in Bytes) vs Average Bandwidth (in Mb/s) + individual results
# Index 0: BW: Host loopback mode blocking (msg recv())
3072 4082.25 3788 3757 4661 4123
4096 3964.25 4302 4043 3582 3930
5120 6549.5 6477 7291 5252 7178
8192 3732.25 3509 4000 4071 3349
9018 4413.5 4457 4491 3974 4732
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 19: BW: Transmit to VM poll() both (msg recv())
8 29.25 44 40 11 22
128 396.75 191 542 526 328
512 896.75 881 888 920 898
1024 2466 2774 1457 2632 3001
1518 3257.75 3382 2118 3807 3724
2048 2953 2435 3489 2488 3400
3072 4430.5 4515 5565 2899 4743
4096 3344.5 3813 3584 3729 2252
5120 4481 4753 4973 2470 5728
8192 4251 4541 4387 4002 4074
9018 4097.5 3931 4200 3920 4339
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 20: BW: Transmit to VM blocking (bulk recv())
8 15.25 8 8 18 27
128 379 553 318 317 328
512 1600.25 581 2070 1871 1879
1024 2515.75 2664 3178 1481 2740
1518 3302.75 3592 3570 2340 3709
2048 3729.5 3853 4868 2462 3735
3072 5068.75 4137 4899 6139 5100
4096 4394.5 4748 3879 3940 5011
5120 5582.75 5948 3768 5750 6865
8192 3639.25 3531 4157 3224 3645
9018 4327 4100 4423 4307 4478
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 21: BW: Transmit to VM poll() Linux (bulk recv())
8 12.25 17 8 12 12
128 383 273 716 280 263
512 1188 962 891 967 1932
1024 2651.25 2817 3008 1614 3166
1518 3308.75 4075 3798 2009 3353
2048 4131 4851 2276 4760 4637
3072 4658.5 4277 5313 3410 5634
4096 3274 2205 3732 3472 3687
5120 4997.25 5084 4368 5757 4780
8192 3624 3760 3498 3501 3737
9018 4600 4757 4792 4895 3956
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 22: BW: Transmit to VM poll() Windows (bulk recv())
8 18.25 6 42 17 8
128 434 369 720 333 314
512 1615 942 1847 1824 1847
1024 2441.75 2834 2870 1508 2555
1518 3181.5 4248 4227 2144 2107
2048 3915.75 5089 2390 3813 4371
3072 5121.5 6457 4055 6426 3548
4096 3285.75 2536 3888 2546 4173
5120 5201.5 5013 5722 5017 5054
8192 3887.75 3387 4165 3962 4037
9018 3956.5 4276 4125 3699 3726
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 23: BW: Transmit to VM poll() both (bulk recv())
8 14.75 6 2 11 40
128 243.5 310 282 12 370
512 1437.25 1075 1835 896 1943
1024 2741.25 2641 2816 2645 2863
1518 2855.25 2146 3762 1735 3778
2048 3789 2508 3363 4417 4868
3072 5067.5 4292 6083 3810 6085
4096 3601.5 4279 3512 2723 3892
5120 4204 5189 2624 4750 4253
8192 4411.5 4372 4298 3917 5059
9018 4328.25 4343 3659 4540 4771
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053
# 16384: send() Error: 10053


# Index 24: connect() from VM
# time (ms) vs count vs cumulative percent
1 1957  97.85
2 37  99.70
3 3  99.85
4 1  99.90
5 0  99.90
6 0  99.90
7 0  99.90
8 0  99.90
9 1  99.95
10 0  99.95
20 1 100.00
30 0 100.00
40 0 100.00
50 0 100.00
60 0 100.00
70 0 100.00
80 0 100.00
90 0 100.00
100 0 100.00
200 0 100.00
300 0 100.00
400 0 100.00
500 0 100.00
600 0 100.00
700 0 100.00
800 0 100.00
900 0 100.00
>=1000 0 100.00
connect_err 0 100.00
socket_err 0 100.00


# Index 25: connect() to VM
# time (ms) vs count vs cumulative percent
1 1791  89.55
2 112  95.15
3 36  96.95
4 26  98.25
5 14  98.95
6 7  99.30
7 3  99.45
8 4  99.65
9 3  99.80
10 1  99.85
20 3 100.00
30 0 100.00
40 0 100.00
50 0 100.00
60 0 100.00
70 0 100.00
80 0 100.00
90 0 100.00
100 0 100.00
200 0 100.00
300 0 100.00
400 0 100.00
500 0 100.00
600 0 100.00
700 0 100.00
800 0 100.00
900 0 100.00
>=1000 0 100.00
connect_err 0 100.00
socket_err 0 100.00


# Index 26: connect() to VM with timeout
# time (ms) vs count vs cumulative percent
1 811  40.55
2 6  40.85
3 5  41.10
4 4  41.30
5 0  41.30
6 4  41.50
7 3  41.65
8 0  41.65
9 4  41.85
10 685  76.10
20 478 100.00
30 0 100.00
40 0 100.00
50 0 100.00
60 0 100.00
70 0 100.00
80 0 100.00
90 0 100.00
100 0 100.00
200 0 100.00
300 0 100.00
400 0 100.00
500 0 100.00
600 0 100.00
700 0 100.00
800 0 100.00
900 0 100.00
>=1000 0 100.00
connect_err 0 100.00
socket_err 0 100.00


# Index 27: connect() from VM with load
# time (ms) vs count vs cumulative percent
1 1960  98.00
2 37  99.85
3 3 100.00
4 0 100.00
5 0 100.00
6 0 100.00
7 0 100.00
8 0 100.00
9 0 100.00
10 0 100.00
20 0 100.00
30 0 100.00
40 0 100.00
50 0 100.00
60 0 100.00
70 0 100.00
80 0 100.00
90 0 100.00
100 0 100.00
200 0 100.00
300 0 100.00
400 0 100.00
500 0 100.00
600 0 100.00
700 0 100.00
800 0 100.00
900 0 100.00
>=1000 0 100.00
connect_err 0 100.00
socket_err 0 100.00


# Index 28: connect() to VM with load
# time (ms) vs count vs cumulative percent
1 1799  89.95
2 104  95.15
3 34  96.85
4 24  98.05
5 12  98.65
6 8  99.05
7 6  99.35
8 3  99.50
9 3  99.65
10 2  99.75
20 5 100.00
30 0 100.00
40 0 100.00
50 0 100.00
60 0 100.00
70 0 100.00
80 0 100.00
90 0 100.00
100 0 100.00
200 0 100.00
300 0 100.00
400 0 100.00
500 0 100.00
600 0 100.00
700 0 100.00
800 0 100.00
900 0 100.00
>=1000 0 100.00
connect_err 0 100.00
socket_err 0 100.00
