# Windows Version: 10.0.14393.206 (rs1_release.160915-0644)
# CPU: Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz
# Memory: 15.89 GB
# Linux Kernel Version: 4.8.11-moby with 8k HV Socket send buffer
# Linux Total Memory: 1.934 GiB
# Linux CPUs: 2
#
# Index 0: connect() from VM
# time (ms) vs count
9018 3755
12288 5790


# Index 26: BW: Transmit to VM poll() Linux (bulk recv())
128 436
512 1768
1024 1088
1518 3654
2048 3180
3072 3564
4096 3109
5120 5224
8192 4232
9018 2928
12288 4462


# Index 27: BW: Transmit to VM poll() Windows (bulk recv())
8 0
64 166
128 412
512 1800
1024 2936
1518 3183
2048 3704
3072 1308
4096 4623
5120 4016
8192 2597
9018 3251
12288 3634


# Index 28: BW: Transmit to VM poll() both (bulk recv())
8 21
64 287
128 321
512 1707
1024 1043
1518 3947
2048 3122
3072 5752
4096 4531
5120 4008
8192 5121
9018 2706
12288 3520

